0,0,0
1,0,0
2,0,0
3,2,0.894054537
4,4.9,2.190433616
5,8.1,3.620920876
6,11.3,5.051408136
7,14.5,6.481895396
8,17.3,7.733571748
9,19.6,8.761734466
10,21.8,9.745194457
11,24,10.72865445
12,25.8,11.53330353
13,27.1,12.11443898
14,28,12.51676352
15,29,12.96379079
16,30,13.41081806
17,30.7,13.72373715
18,31.5,14.08135896
19,32.2,14.39427805
20,32.9,14.70719714
21,33.5,14.9754135
22,34.1,15.24362986
23,34.6,15.4671435
24,34.9,15.60125168
25,35.1,15.69065713
26,35.7,15.95887349
27,35.9,16.04827895
28,35.8,16.00357622
29,35.3,15.78006258
30,34.9,15.60125168
31,34.5,15.42244077
32,34.6,15.4671435
33,34.8,15.55654895
34,35.1,15.69065713
35,35.7,15.95887349
36,36.1,16.1376844
37,36.2,16.18238713
38,36.5,16.31649531
39,36.7,16.40590076
40,36.9,16.49530621
41,37,16.54000894
42,37,16.54000894
43,37,16.54000894
44,37,16.54000894
45,37,16.54000894
46,37,16.54000894
47,37.1,16.58471167
48,37.3,16.67411712
49,37.8,16.89763076
50,38.6,17.25525257
51,39.3,17.56817166
52,40,17.88109075
53,40.7,18.19400983
54,41.4,18.50692892
55,42.2,18.86455074
56,42.9,19.17746983
57,43.5,19.44568619
58,44,19.66919982
59,44.3,19.803308
60,44.5,19.89271346
61,44.8,20.02682164
62,44.9,20.07152436
63,45,20.11622709
64,45.1,20.16092982
65,45.4,20.295038
66,45.7,20.42914618
67,46,20.56325436
68,46.3,20.69736254
69,46.5,20.78676799
70,46.8,20.92087617
71,46.9,20.9655789
72,47,21.01028163
73,47.1,21.05498435
74,47.2,21.09968708
75,47.3,21.14438981
76,47.2,21.09968708
77,47.1,21.05498435
78,47,21.01028163
79,46.9,20.9655789
80,46.9,20.9655789
81,46.9,20.9655789
82,47,21.01028163
83,47.1,21.05498435
84,47.1,21.05498435
85,47.2,21.09968708
86,47.1,21.05498435
87,47,21.01028163
88,46.9,20.9655789
89,46.5,20.78676799
90,46.3,20.69736254
91,46.2,20.65265981
92,46.3,20.69736254
93,46.5,20.78676799
94,46.9,20.9655789
95,47.1,21.05498435
96,47.4,21.18909253
97,47.7,21.32320072
98,48,21.4573089
99,48.2,21.54671435
100,48.5,21.68082253
101,48.8,21.81493071
102,49.1,21.94903889
103,49.2,21.99374162
104,49.1,21.94903889
105,49.1,21.94903889
106,49,21.90433616
107,49,21.90433616
108,49.1,21.94903889
109,49.2,21.99374162
110,49.3,22.03844435
111,49.4,22.08314707
112,49.5,22.1278498
113,49.5,22.1278498
114,49.5,22.1278498
115,49.4,22.08314707
116,49.1,21.94903889
117,48.9,21.85963344
118,48.6,21.72552526
119,48.4,21.6361198
120,48.1,21.50201162
121,47.7,21.32320072
122,47.4,21.18909253
123,47.3,21.14438981
124,47.5,21.23379526
125,47.8,21.36790344
126,47.9,21.41260617
127,48,21.4573089
128,47.9,21.41260617
129,47.9,21.41260617
130,47.9,21.41260617
131,48,21.4573089
132,48,21.4573089
133,48,21.4573089
134,47.9,21.41260617
135,47.3,21.14438981
136,46,20.56325436
137,43.3,19.35628073
138,41.2,18.41752347
139,39.5,17.65757711
140,39.2,17.52346893
141,39,17.43406348
142,39,17.43406348
143,39.1,17.4787662
144,39.5,17.65757711
145,40.1,17.92579347
146,41,18.32811802
147,42,18.77514528
148,43.1,19.26687528
149,43.7,19.53509164
150,44.1,19.71390255
151,44.3,19.803308
152,44.4,19.84801073
153,44.6,19.93741618
154,44.7,19.98211891
155,44.9,20.07152436
156,45.2,20.20563254
157,45.7,20.42914618
158,45.9,20.51855163
159,46.3,20.69736254
160,46.8,20.92087617
161,46.9,20.9655789
162,47,21.01028163
163,47.1,21.05498435
164,47.6,21.27849799
165,47.9,21.41260617
166,48,21.4573089
167,48,21.4573089
168,47.9,21.41260617
169,47.8,21.36790344
170,47.3,21.14438981
171,46.7,20.87617345
172,46.2,20.65265981
173,45.9,20.51855163
174,45.7,20.42914618
175,45.5,20.33974072
176,45.4,20.295038
177,45.3,20.25033527
178,45,20.11622709
179,44,19.66919982
180,43.1,19.26687528
181,42.2,18.86455074
182,41.5,18.55163165
183,41.5,18.55163165
184,42.1,18.81984801
185,42.9,19.17746983
186,43.5,19.44568619
187,43.9,19.62449709
188,43.6,19.49038891
189,43.3,19.35628073
190,43,19.22217255
191,43.1,19.26687528
192,43.4,19.40098346
193,43.9,19.62449709
194,44.3,19.803308
195,44.6,19.93741618
196,44.9,20.07152436
197,44.8,20.02682164
198,44.4,19.84801073
199,43.9,19.62449709
200,43.4,19.40098346
201,43.2,19.31157801
202,43.2,19.31157801
203,43.1,19.26687528
204,43,19.22217255
205,43,19.22217255
206,43.1,19.26687528
207,43.4,19.40098346
208,43.9,19.62449709
209,44,19.66919982
210,43.5,19.44568619
211,42.6,19.04336165
212,41.5,18.55163165
213,40.7,18.19400983
214,40,17.88109075
215,40,17.88109075
216,40.3,18.01519893
217,41,18.32811802
218,42,18.77514528
219,42.7,19.08806437
220,43.1,19.26687528
221,43.2,19.31157801
222,43.4,19.40098346
223,43.9,19.62449709
224,44.3,19.803308
225,44.7,19.98211891
226,45.1,20.16092982
227,45.4,20.295038
228,45.8,20.4738489
229,46.5,20.78676799
230,46.9,20.9655789
231,47.2,21.09968708
232,47.4,21.18909253
233,47.3,21.14438981
234,47.3,21.14438981
235,47.2,21.09968708
236,47.2,21.09968708
237,47.2,21.09968708
238,47.1,21.05498435
239,47,21.01028163
240,47,21.01028163
241,46.9,20.9655789
242,46.8,20.92087617
